Author_ID,Author_Name
-2888635582257559180,S.; Michel
-2650350891866285134,S.; Marasek
2052590144843096563,A.; Strzałkowski
-7881645435504695829,K.
7519722514182648442,Pereira da Costa
-4475551100748028125,R.; Costa
4093426628522973839,F.M.; da Fonseca
4173241108909163944,J.E.C.; Khmelinskii
6369940377606573931,N.; Oliveira
2022395063650238810,A.; Dourado
7579776689802612771,E.
2945092068904601530,Dias
1464740836294432021,L.M.S.; Bastos
3697771323428024384,A.R.; Alves
-1540113353610722837,T.; Elias Towe
4607275156230138109,E.; Ferreira
-711693948010287040,R.A.S.; André
319578140340980185,P.S.B.
5866629095300177552,Düfel
1643784350336495535,M.; Kennedy
8549378729137859691,J.B.; Mugnolo
1150216681445951284,D.; Plumer
-688938503967763775,M.; Taufer
-5685596135332461852,Fernández-Álvarez
6289387435233204060,J.C.; Nieto
3211216919829768603,R.; Vicente-Serrano
2143887431126582267,S.M.; Carvalho
5735074556239579820,D.; Gimeno
7878280861640313768,Severino
2857351499291896234,P.; Graça
3461186567031473627,M.; Negrões
6398997972607063586,N.; Barros
-1446477930867730931,T.; Carvalho
-4038321373431904026,J.; Ferreira
3421261055365457769,E.; Hartasánchez
-4048765894753758673,R.; Malheiro
-8654847564376015667,B.; Rosalino
-491699835897824495,L.M.; Torres
-6265635792398267663,R.T.; Glikman
-4453018910590736375,J.A.
-6354144507759149745,Ayzenberg
2852932108240248966,D.; Blackburn
8397568027627269794,L.; Brito
7039979390710739586,R.; Britzen
2230873243664043791,S.; Broderick
-2435385600707820670,A.E.; Carballo-Rubio
-4368375379683700015,R.; Cardoso
8531382576929350876,V.; Chael
-7281980597653402001,A.; Chatterjee
4958380475410094462,K.; Chen
-1744249726594460671,Y.; Cunha
-8026578003915953525,P.V.P.; Davoudiasl
8051252595027319613,H.; Denton
7067671741337905822,P.B.; Doeleman
6608262031661484155,S.S.; Eichhorn
5824138538066230907,A.; Eubanks
4314330847558404214,M.; Fang
1825913940464849864,Y.; Foschi
111730183993110198,A.; Fromm
7583469606296787048,C.M.; Galison
1324248903852335964,P.; Ghosh
1825909925923926036,S.G.; Gold
7878276697246243701,R.; Gurvits
4734908854703146436,L.I.; Hadar
3042182504919377637,S.; Held
-8958699711536447038,A.; Houston
4594151998704261241,J.; Hu
-1136092558782932342,Y.; Johnson
-944249895964799524,M.D.; Kocherlakota
6163558215272756488,P.; Natarajan
8405154508516611913,P.; Olivares Sánchez
2025743266071570127,H.; Palumbo
-6244248856957146814,D.; Pesce
-6117013926323541290,D.W.; Rajendran
3770495604962304161,S.; Roy
3199136634661709085,R.; Saurabh; Shao
-4818451374265587866,L.; Tahura
-2211143055560381821,S.; Tamar
4717862076202821425,A.; Tiede
-6400636571948830273,P.; Vincent
-3291692031385180289,F.H.; Visinelli
8612947893296100678,L.; Wang
-5441779324371900674,Z.; Wielgus
5141367757238077707,M.; Xue
3943423343441166603,X.; Yakut
-4737816465474261447,K.; Yang
35208013542607053,H.; Younsi
9109282265040181670,Z.
-462197124275711581,Pinho
4400106432230093652,M.; Moreira
2288214532366599481,A.S.P.; Cardesín
5133138361848770201,E.G.; Pérez-González
-6984198345863720628,A.; Gómez-Carnota
-8181572508441362696,D.; Neves
-7090455305189322753,B.B.; Bonciarelli
-7826085733283522547,S.; Goracci
8887462948288162930,L.; Melo
-7467879754710470400,T.; Domingues
-428016543577045089,P.; Lillebø
7433432877348598287,A.I.; Cremades
3810703672033943397,J.; Domingues
2547326213696158377,M.R.
5231782067287312197,Figueiredo
5625538438963830774,A.; Amaral
-3766150845617678020,J.; Mendes
6904171737732754377,M.; Rosmaninho
6142914423196399418,R.; Dias
4167889023026191672,D.; Rito
6263873169917296756,P.; Luís
406579842659559061,M.; Raposo
-1861247532303449312,D.; Sargento
-2061402553743406273,Santos
7122542578896897120,C.I.M.; Rosa
-6088993851708135389,V.; Neves
-7315446178215788061,M.G.P.M.S.; Kirillov
6861069716813043862,A.M.; Kirillova
8768802018989982515,M.V.
-6454539856844792644,Cordeiro
1847349579101137380,A.; Fernandes
1113087976730396523,A.; Ferreira
702976882889805138,A.S.; Coelho
-3866723956099513796,E.; Coimbra
-2331006657795473345,M.A.; Silvério
-3232581572901050717,S.C.; Pilão Cadavez
4151108069736202284,V.; Peres
-2836250938682399955,A.M.; Rodrigues
-4610896815986369730,L.R.; Amorim
5832990024680498995,C.
4627259403415820944,Justo
5243907798913374347,M.S.S.; Beenham
-4581250956034819169,L.; Cúrdia
-8095436444156097478,J.; Cunha
1406672161772279593,M.; Lyne
5752716254090985690,F.; Bartossek
-1534501991557133423,R.; Leite
-1870074393077618778,C.; Palmer
6343269530235167752,E.; Oldmeadow
113285328781824694,E.; Peixoto
-1642476932118425756,R.S.; Freitas
-1551790841504306212,R.; Berumen
-1755547181667328227,M.L.; Carvalho
-3255313121936280456,Viitak
-2206841063554885113,M.; Nolasco
3347454351085456039,R.; Villacieros-Robineau
-7841670939880021486,N.; Silva
-4224363038468725449,P.A.; Castro
6168955189182359852,C.G.; Dubert
-7901780277795725068,J.
-6705195894482657516,Lopes-Santos
5746711461981514507,S.; Xavier
1203885421983843665,J.C.; Abreu
-8577941980522923804,J.; Seco
7710229463475841340,J.; Coelho
-4946741709985654233,J.P.; Pereira
3349669635354982362,E.; Phillips
6102727599122041041,R.A.; Queirós
8663072457226264664,H.; Henriques
8666771082643671466,A.R.; Canhão
-21482032161059201,H.; Machado
-8403096670975159356,P.M.; Pimentel-Santos
3029218964052653281,F.M.; Silva
7248989933907295367,C.; Lobão
2384348407763641254,B.; Bernardes
-2047993141309553837,J.M.; Gomes
-1549756776049971737,C.; Fraga
8440134532870193729,V.; Abreu
7792432325873135517,C.; Parente
4518826109633951474,H.; Soares
-3101991703009684614,C.D.; Luís
203474351506804614,M.; Vieira-Sousa
-7921083878143386131,E.; Couto
-6880057456913496003,M.; Barcelos
5997748313005021602,A.; Sequeira
-6539504383934856544,G.; Nóvoa
-2563695061558013758,T.; Nero
-4328100884235606504,P.; Barcelos
3033140157025476221,F.; Rodrigues
-1368822523934649167,A.M.
7734314056656816233,Bracher-Smith
-8179249033516383661,M.; Melograna
139872244261688309,F.; Ulm
-2803271735215086508,B.; Bellenguez
8403758966816902036,C.; Grenier-Boley
-2523407096196848710,B.; Duroux
6880446229755934363,D.; Nevado
-2613881571581997703,A.J.; Holmans
2669621804264147305,P.; Tijms
-3414969710854392714,B.M.; Hulsman
-4599433360709422089,M.; de Rojas
-7884985897826608027,I.; Campos-Martin
6207963437718491997,R.; der Lee
-5646581083799459411,S.V.; Castillo
5161940290747273004,A.; Küçükali
-9025011524791545554,F.; Peters
9183196325139395048,O.; Schneider
-7637770023193612841,A.; Dichgans
-1452512848196186606,M.; Rujescu
-967801193230446050,D.; Scherbaum
-5007254716758040424,N.; Deckert
-8267873835428522289,J.; Riedel-Heller
